time,open,high,low,close,volume
2023-10-23 08:43,0.52933,0.5309,0.52883,0.53012,1562100
2023-10-23 08:43,0.52933,0.5309,0.52883,0.53012,1562100
2023-10-23 08:44,0.5302,0.53099,0.52978,0.53039,1079000
2023-10-23 08:44,0.5302,0.53099,0.52978,0.53039,1079000
2023-10-23 08:45,0.53049,0.531,0.52986,0.53008,723000
2023-10-23 08:45,0.53049,0.531,0.52986,0.53008,723000
2023-10-23 08:46,0.53006,0.53006,0.52883,0.5295,705400
2023-10-23 08:46,0.53006,0.53006,0.52883,0.5295,705400
2023-10-23 08:47,0.52948,0.52949,0.52894,0.52931,224200
2023-10-23 08:47,0.52948,0.52949,0.52894,0.52931,224200
2023-10-23 08:48,0.52928,0.52979,0.52886,0.52909,607000
2023-10-23 08:49,0.52909,0.52977,0.52866,0.52959,223200
2023-10-23 08:50,0.52968,0.52975,0.52864,0.52908,203500
2023-10-23 08:51,0.52911,0.52927,0.52853,0.52909,272600
2023-10-23 08:52,0.52913,0.52967,0.52895,0.52958,126900
2023-10-23 08:53,0.52956,0.53006,0.52942,0.52997,309700
2023-10-23 08:54,0.52997,0.53035,0.52984,0.53,492500
2023-10-23 08:55,0.53001,0.53052,0.52954,0.53052,225200
2023-10-23 08:56,0.53055,0.53142,0.53036,0.53101,417300
2023-10-23 08:57,0.53099,0.53179,0.53092,0.53165,389000
2023-10-23 08:58,0.5317,0.53236,0.53131,0.53159,792800
2023-10-23 08:59,0.53141,0.53181,0.53089,0.53098,338900
2023-10-23 09:00,0.5309,0.53108,0.52969,0.53019,2254700
2023-10-23 09:01,0.53025,0.53179,0.53022,0.53178,301900
2023-10-23 09:02,0.53174,0.53602,0.53165,0.53356,4613700
2023-10-23 09:03,0.53354,0.53474,0.53252,0.53474,935700
2023-10-23 09:04,0.53474,0.53548,0.53366,0.53533,651000
2023-10-23 09:05,0.53542,0.53551,0.53333,0.53405,715500
2023-10-23 09:06,0.53408,0.53412,0.53321,0.53351,346900
2023-10-23 09:07,0.53342,0.53486,0.53334,0.53485,929200
2023-10-23 09:08,0.5348,0.53576,0.5334,0.53422,2131100
2023-10-23 09:09,0.53422,0.53494,0.53345,0.53494,511100
2023-10-23 09:10,0.53497,0.53498,0.53367,0.53367,2556500
2023-10-23 09:11,0.53357,0.53359,0.53233,0.53257,689400
2023-10-23 09:12,0.53256,0.53281,0.53184,0.53188,682100
2023-10-23 09:13,0.53189,0.53225,0.53114,0.53115,411900
2023-10-23 09:14,0.53114,0.53156,0.53078,0.53117,405000
2023-10-23 09:15,0.53123,0.53155,0.53072,0.53108,389700
2023-10-23 09:16,0.53118,0.53251,0.53118,0.53214,209300
2023-10-23 09:17,0.53214,0.53264,0.53186,0.53253,431300
2023-10-23 09:18,0.53253,0.5328,0.53239,0.53261,152200
2023-10-23 09:19,0.53263,0.53273,0.53137,0.53138,426000
2023-10-23 09:20,0.53136,0.53142,0.5309,0.53113,559700
2023-10-23 09:21,0.5311,0.5311,0.52885,0.52943,1771100
2023-10-23 09:22,0.52947,0.53083,0.52891,0.53083,711700
2023-10-23 09:23,0.53083,0.53157,0.53068,0.53153,670300
2023-10-23 09:24,0.53157,0.5317,0.53033,0.53075,273800
2023-10-23 09:25,0.53067,0.53122,0.53005,0.53005,234700
2023-10-23 09:26,0.53007,0.53007,0.52918,0.52925,312300
2023-10-23 09:27,0.52922,0.52962,0.5291,0.52924,278200
2023-10-23 09:28,0.5293,0.52993,0.5283,0.52858,1383100
2023-10-23 09:29,0.52858,0.52873,0.52807,0.52835,408300
2023-10-23 09:30,0.52835,0.52896,0.52758,0.52779,519200
2023-10-23 09:31,0.52779,0.52779,0.52674,0.52694,1614100
2023-10-23 09:32,0.52701,0.52715,0.52439,0.52643,3462300
2023-10-23 09:33,0.52634,0.5269,0.52551,0.52552,651600
2023-10-23 09:34,0.52552,0.52663,0.5252,0.52611,520600
2023-10-23 09:35,0.52611,0.52676,0.52599,0.5266,1064800
2023-10-23 09:36,0.52653,0.52661,0.52576,0.52644,1492800
2023-10-23 09:37,0.52633,0.52675,0.52613,0.5267,796800
2023-10-23 09:38,0.52671,0.52711,0.52632,0.52699,764400
2023-10-23 09:39,0.52699,0.52699,0.52632,0.52637,128800
2023-10-23 09:40,0.52637,0.52698,0.52629,0.52673,218900
2023-10-23 09:41,0.52673,0.5269,0.52613,0.52621,379500
2023-10-23 09:42,0.5262,0.5272,0.52612,0.527,384600
2023-10-23 09:43,0.52693,0.527,0.52588,0.52599,247000
2023-10-23 09:44,0.52586,0.52637,0.52566,0.52606,352400
2023-10-23 09:45,0.52594,0.52601,0.52546,0.52565,458800
2023-10-23 09:46,0.52558,0.52582,0.5247,0.52497,1206100
2023-10-23 09:47,0.52496,0.52558,0.5243,0.52475,582600
2023-10-23 09:48,0.52475,0.52538,0.52411,0.5251,805800
2023-10-23 09:49,0.52511,0.52521,0.52357,0.52449,1389100
2023-10-23 09:50,0.52449,0.52533,0.52396,0.52533,312100
2023-10-23 09:51,0.52532,0.52551,0.52479,0.52534,494900
2023-10-23 09:52,0.52544,0.52566,0.52511,0.52543,454500
2023-10-23 09:53,0.52542,0.52655,0.52526,0.52647,325700
2023-10-23 09:54,0.52647,0.52667,0.52618,0.5266,254700
2023-10-23 09:55,0.52657,0.52687,0.5265,0.52684,147500
2023-10-23 09:56,0.52688,0.52708,0.5266,0.52708,147300
2023-10-23 09:57,0.52714,0.52715,0.52592,0.52599,320300
2023-10-23 09:58,0.52611,0.52624,0.52595,0.52603,197600
2023-10-23 09:59,0.52605,0.52692,0.52605,0.52688,179500
2023-10-23 10:00,0.52689,0.52719,0.52675,0.52709,399700
2023-10-23 10:01,0.5271,0.52722,0.52686,0.52718,223400
2023-10-23 10:02,0.52713,0.5274,0.52713,0.52734,134200
2023-10-23 10:03,0.52733,0.52742,0.52696,0.52696,120400
2023-10-23 10:04,0.52688,0.52688,0.52609,0.5261,199100
